name,address,city,state,zip,Zip.Plus,Contact.First.Name,Contact.Last.Name,Contact.Title,Phone,Business.Description,Primary.NAICS,NAICS2,NAICS3,NAICS4,NAICS5,Business.Type,County,Employee,Annual.Sales,URL,Year.Established,address_new,url,type,latitude,longitude
Team Attraction Gymnastics LLC,1040 Vision Dr,Apex,NC,27523,6391,Brian,Ward,Owner,(919) 303-5770,Gymnastic Instruction,611620,NA,NA,NA,NA,Private,Wake,10,641000,teamattractiongymnastics.com,2010,1040 Vision Dr Apex NC 27523,https://teamattractiongymnastics.com,gymnastics lessons,35.75004249,-78.88061268
Top Notch Gymnastics Inc,4380 Triple Crown Dr SW,Concord,NC,28027,8978,Jennifer,Okeefe,Owner,(704) 721-0727,Gymnastic Instruction,611620,999990,NA,NA,NA,Private,Cabarrus,15,713000,topnotchgymnastics.net,2003,4380 Triple Crown Dr SW Concord NC 28027,https://topnotchgymnastics.net,gymnastics lessons,35.35563865,-80.61936826
Tri County Gymnastics,5223 Nc 96 Hwy W,Youngsville,NC,27596,8200,Shelley,Leone,Owner,(919) 556-5445,Gymnastic Instruction,611620,611610,NA,NA,NA,Private,Franklin,10,528000,tricountygymnastics.com,1991,5223 Nc 96 Hwy W Youngsville NC 27596,https://tricountygymnastics.com,gymnastics lessons,36.03717589,-78.49044313
Triangle Rhythmics LLC,413 W Chatham St # A,Cary,NC,27511,3176,NA,NA,NA,(919) 504-2418,Gymnastic Instruction,611620,NA,NA,NA,NA,Private,Wake,3,NA,trianglerhythmics.com,2024,413 W Chatham St # A Cary NC 27511,NA,gymnastics lessons,35.7865453,-78.78938266
Triumph,2723 Nc 55 Hwy,Cary,NC,27519,6206,Theresa,Whitehurst,Owner,(919) 355-2199,Gymnastic Instruction,611620,NA,NA,NA,NA,Private,Wake,9,577000,triumphnc.com,2014,2723 Nc 55 Hwy Cary NC 27519,https://triumphnc.com,gymnastics lessons,35.78497115,-78.87127321
Tumble Bees,6904 Downwind Rd,Greensboro,NC,27409,1852,NA,NA,NA,(336) 550-4115,Gymnastic Instruction,611620,NA,NA,NA,NA,Private,Guilford,3,344000,ultimate-kids.com,2019,6904 Downwind Rd Greensboro NC 27409,NA,gymnastics lessons,36.08208263,-79.92778099
Tumble Gym,1839 S Main St # 390,Wake Forest,NC,27587,6535,Patrick A,Kranick,Manager,(919) 569-9547,Gymnastic Instruction,611620,NA,NA,NA,NA,Private,Wake,9,513000,thetumblegym.com,2014,1839 S Main St # 390 Wake Forest NC 27587,https://thetumblegym.com,gymnastics lessons,35.95278288,-78.52754788
Tumble Tots of Lexington Inc,117 Anna Lewis Dr,Lexington,NC,27292,2868,Kim,Snider,Owner,(336) 236-1935,Gymnastic Instruction,611620,NA,NA,NA,NA,Private,Davidson,3,141000,tumbletotsandteens.com,2003,117 Anna Lewis Dr Lexington NC 27292,https://tumbletotsandteens.com,gymnastics lessons,35.80361814,-80.28250302
Tumblebees Gymnastic & Dance,6904 Downwind Rd,Greensboro,NC,27409,1852,Scott,Lineberry,Partner,(336) 665-0662,Gymnastic Instruction,611620,459420,713940,NA,NA,Private,Guilford,75,5154000,ultimate-kids.com,2011,6904 Downwind Rd Greensboro NC 27409,https://ultimate-kids.com,gymnastics lessons,36.08208263,-79.92778099
Tumblemania School Gymnastics,366 E Fleming Dr,Morganton,NC,28655,5362,Kendall,Jillings,Owner,(828) 437-0030,Gymnastic Instruction,611620,NA,NA,NA,NA,Private,Burke,2,101000,tumblemaniagymnastics.com,2002,366 E Fleming Dr Morganton NC 28655,https://tumblemaniagymnastics.com,gymnastics lessons,35.74630375,-81.66629351
Upscale Athletics,3390 Denver Dr # C,Denver,NC,28037,7223,Tamil,Jones,Manager,(704) 483-0250,Gymnastic Instruction,611620,NA,NA,NA,NA,Private,Lincoln,2,80000,upscaleathleticsllc.com,2015,3390 Denver Dr # C Denver NC 28037,https://upscaleathleticsllc.com,gymnastics lessons,35.52025332,-81.01886764
Victory Cheerleading Co,911 Concord Pkwy N,Concord,NC,28027,5901,Marc,Itow,Director,(704) 795-2433,Gymnastic Instruction,611620,NA,NA,NA,NA,Private,Cabarrus,3,143000,victorycheer.com,2000,911 Concord Pkwy N Concord NC 28027,https://victorycheer.com,gymnastics lessons,35.42563273,-80.61533426
Wake's Gymnastics,10700 World Trade Blvd # 113,Raleigh,NC,27617,4220,Marlyn,Schuh,Owner,(919) 572-5320,Gymnastic Instruction,611620,NA,NA,NA,NA,Private,Wake,2,129000,wakegymnastics.com,2008,10700 World Trade Blvd # 113 Raleigh NC 27617,https://wakegymnastics.com,gymnastics lessons,35.89708327,-78.81624423
